#########################################################
Info per interval: 60 s, GC done: 0, GC duration: 0 ms
#########################################################
14 s - GC Name: ParNew, GC Action: end of minor GC, GC ID: 1, GC Duration: 28 ms, GC Couse: Allocation Failure
34 s - GC Name: ParNew, GC Action: end of minor GC, GC ID: 2, GC Duration: 31 ms, GC Couse: Allocation Failure
#########################################################
Info per interval: 60 s, GC done: 2, GC duration: 59 ms
#########################################################
66 s - GC Name: ParNew, GC Action: end of minor GC, GC ID: 3, GC Duration: 58 ms, GC Couse: Allocation Failure
98 s - GC Name: ParNew, GC Action: end of minor GC, GC ID: 4, GC Duration: 33 ms, GC Couse: Allocation Failure
98 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 1, GC Duration: 49 ms, GC Couse: No GC
#########################################################
Info per interval: 60 s, GC done: 3, GC duration: 140 ms
#########################################################
131 s - GC Name: ParNew, GC Action: end of minor GC, GC ID: 5, GC Duration: 33 ms, GC Couse: Allocation Failure
131 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 2, GC Duration: 52 ms, GC Couse: No GC
133 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 3, GC Duration: 64 ms, GC Couse: No GC
140 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 4, GC Duration: 5107 ms, GC Couse: No GC
148 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 5, GC Duration: 5096 ms, GC Couse: No GC
155 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 6, GC Duration: 5053 ms, GC Couse: No GC
162 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 7, GC Duration: 5131 ms, GC Couse: No GC
164 s - GC Name: ParNew, GC Action: end of minor GC, GC ID: 6, GC Duration: 34 ms, GC Couse: Allocation Failure
169 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 8, GC Duration: 5123 ms, GC Couse: No GC
176 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 9, GC Duration: 5079 ms, GC Couse: No GC
#########################################################
Info per interval: 60 s, GC done: 10, GC duration: 30772 ms
#########################################################
183 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 10, GC Duration: 5108 ms, GC Couse: No GC
190 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 11, GC Duration: 5064 ms, GC Couse: No GC
197 s - GC Name: ParNew, GC Action: end of minor GC, GC ID: 7, GC Duration: 59 ms, GC Couse: Allocation Failure
197 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 12, GC Duration: 5091 ms, GC Couse: No GC
199 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 13, GC Duration: 81 ms, GC Couse: No GC
206 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 14, GC Duration: 5176 ms, GC Couse: No GC
209 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 15, GC Duration: 1005 ms, GC Couse: No GC
212 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 16, GC Duration: 577 ms, GC Couse: No GC
214 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 17, GC Duration: 76 ms, GC Couse: No GC
216 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 18, GC Duration: 59 ms, GC Couse: No GC
218 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 19, GC Duration: 68 ms, GC Couse: No GC
220 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 20, GC Duration: 78 ms, GC Couse: No GC
222 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 21, GC Duration: 74 ms, GC Couse: No GC
224 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 22, GC Duration: 62 ms, GC Couse: No GC
227 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 23, GC Duration: 72 ms, GC Couse: No GC
230 s - GC Name: ParNew, GC Action: end of minor GC, GC ID: 8, GC Duration: 34 ms, GC Couse: Allocation Failure
230 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 24, GC Duration: 1399 ms, GC Couse: No GC
232 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 25, GC Duration: 86 ms, GC Couse: No GC
234 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 26, GC Duration: 79 ms, GC Couse: No GC
236 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 27, GC Duration: 104 ms, GC Couse: No GC
238 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 28, GC Duration: 98 ms, GC Couse: No GC
#########################################################
Info per interval: 60 s, GC done: 21, GC duration: 24450 ms
#########################################################
240 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 29, GC Duration: 94 ms, GC Couse: No GC
242 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 30, GC Duration: 88 ms, GC Couse: No GC
245 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 31, GC Duration: 81 ms, GC Couse: No GC
247 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 32, GC Duration: 73 ms, GC Couse: No GC
249 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 33, GC Duration: 87 ms, GC Couse: No GC
251 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 34, GC Duration: 71 ms, GC Couse: No GC
253 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 35, GC Duration: 79 ms, GC Couse: No GC
255 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 36, GC Duration: 86 ms, GC Couse: No GC
257 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 37, GC Duration: 69 ms, GC Couse: No GC
259 s - GC Name: ConcurrentMarkSweep, GC Action: end of major GC, GC ID: 38, GC Duration: 89 ms, GC Couse: No GC
